estate,division,field_no,bc,age_months,sd_vp,hect,crop,yph,code
Millakanda,Mihirigeekele,1A,9550,9,VP,1.0,664.0,664.0,MGK
Millakanda,Mihirigeekele,5A1,2415,21,VP,0.3,551.0000000000001,1836.6666666666672,MGK
Millakanda,Mihirigeekele,6,13135,21,VP,2.0,1685.0,842.5,MGK
Millakanda,Mihirigeekele,1,2847,34,VP,1.5,686.0,457.3333333333333,MGK
Millakanda,New,3B,27886,1,VP,3.0,3512.0,1170.6666666666667,NEW
Millakanda,New,3A1,5973,7,VP,1.5,354.0,236.0,NEW
Millakanda,New,3A2,5973,9,VP,0.5,400.0,800.0,NEW
Millakanda,New,1A,8690,15,VP,1.5,2513.0,1675.3333333333333,NEW
Millakanda,New,1011,8457,19,VP,4.39,3887.0000000000005,885.4214123006835,NEW
Millakanda,New,1B,26110,25,VP,3.0,3844.0,1281.3333333333333,NEW
Millakanda,New,10111,18309,34,VP,2.0,4128.0,2064.0,NEW
Millakanda,St Francis,9A2,6396,2,VP,3.0,1576.0,525.3333333333334,STF
Millakanda,St Francis,9A1,17423,3,VP,1.11,784.0,706.3063063063063,STF
Millakanda,St Francis,4A,7212,6,VP,7.0,1801.9999999999998,257.4285714285714,STF
Millakanda,St Francis,12A,12720,7,VP,4.0,1277.0,319.25,STF
Millakanda,St Francis,12B,12980,11,VP,5.92,1812.9999999999995,306.24999999999994,STF
Millakanda,St Francis,11B,11238,13,VP,1.23,2171.0,1765.040650406504,STF
Millakanda,St Francis,4B,4908,16,VP,4.48,2240.0,499.99999999999994,STF
Millakanda,St Francis,3B,9323,19,VP,2.23,830.0000000000001,372.1973094170404,STF
Millakanda,St Francis,6B,7508,20,VP,3.14,1867.0000000000002,594.5859872611466,STF
Millakanda,St Francis,9B,14201,25,VP,5.87,2339.0,398.46678023850086,STF
Millakanda,St Francis,6A,21405,29,VP,6.98,1208.0,173.06590257879654,STF
Millakanda,St Francis,71,4201,34,VP,2.0,2474.0,1237.0,STF
Millakanda,St Francis,8A,11412,34,VP,1.32,567.9999999999999,430.3030303030302,STF
Millakanda,St Francis,9A,14431,39,VP,3.89,2276.0,585.0899742930591,STF
Millakanda,St Francis,8,5803,41,VP,4.79,2471.0000000000005,515.8663883089771,STF
Millakanda,St Francis,8B,3800,45,VP,3.0,1698.0,566.0,STF
Millakanda,St Francis,10,13129,46,VP,3.66,687.9999999999999,187.9781420765027,STF
